REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R043,WALL STREET                   ,41879,2205,108,319,343,13001,30724,0,0,0,866,714,252,874,3692,1636,841,0,612,0,0,0,1665,0,37,0,                                                                                                    
R044,BROOKLYN BRIDGE               ,64429,4559,290,1122,207,23171,42554,0,0,0,361,910,739,696,6055,2205,1252,0,1022,0,0,0,4300,0,1191,0,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,86724,4453,179,404,1568,10355,28027,0,0,0,235,1345,365,1969,3916,4384,1005,0,675,0,0,0,665,0,66,0,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,211731,9787,628,1234,2636,43001,91777,0,0,0,590,3209,1951,3863,13526,8736,2974,0,2690,0,0,0,2035,0,251,0,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,103961,5393,313,841,821,28346,68531,0,0,0,513,2338,453,1563,10001,4996,1880,0,1260,0,0,0,1486,0,159,0,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,32586,1433,71,209,310,6169,19811,0,0,0,59,665,119,310,2072,1642,540,0,329,0,0,0,380,0,27,0,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,48199,2704,191,513,109,16370,32255,0,0,0,272,1121,289,96,5630,2099,875,0,1018,0,0,0,733,0,64,0,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,49528,3837,227,645,274,17634,36455,0,0,0,281,1164,494,406,5663,2359,1035,0,650,0,0,0,1220,0,98,0,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,58484,4708,384,998,126,33134,48028,0,0,0,220,1048,575,230,6565,2241,1332,0,637,0,0,0,2992,0,201,0,                                                                                                    
R052,WOODLAWN ROAD                 ,8040,552,191,464,11,8762,5635,0,0,0,23,73,437,1,693,116,45,0,29,0,0,0,836,0,235,0,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,32700,1860,587,761,24,37980,19390,0,0,0,49,176,1350,6,2901,239,271,0,198,0,0,0,6795,0,648,0,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,26782,1359,90,293,147,8567,19058,0,0,0,154,674,179,103,2780,1121,599,0,387,0,0,0,560,0,42,0,                                                                                                    
R055,MAIN STREET                   ,75140,8256,892,5196,32,51060,90499,0,0,0,124,718,2270,28,4485,966,625,0,618,0,0,0,9027,0,1225,0,                                                                                                    
R056,NEVINS STREET                 ,17634,1525,342,418,18,10943,14442,0,0,0,63,172,422,33,2320,525,444,0,176,0,0,0,2744,0,108,0,                                                                                                    
R057,BARCLAYS CENTER               ,88136,5774,832,1794,1437,39309,63048,0,0,0,169,1023,1476,2006,8237,3280,1737,0,1265,0,0,0,14459,0,483,0,                                                                                                    
