UNIT,STATION,REMOTE, STATION,Station ID
R146,HUNTS POINT AV,R146,HUNTS PT AVE-SOUTHERN BLVD    ,371
R450,LONGWOOD AV,R450,LONGWOOD AVE-SOUTHERN BLVD    ,372
R449,E 149 ST,R449,EAST 149TH ST-SOUTHERN BLVD   ,373
R448,E 143/ST MARY'S,R448,EAST 143RD ST-SOUTHERN BLVD   ,374
R447,CYPRESS AV,R447,CYPRESS AVENUE-138TH STREET   ,375
R446,BROOK AV,R446,BROOK AVENUE-138TH STREET     ,376
R445,3 AV 138 ST,R445,138TH STREET-3RD AVE          ,377
R052,WOODLAWN,R052,WOODLAWN ROAD                 ,378
R133,MOSHOLU PKWY,R133,MOSHOLU PARKWAY-JEROME AVE    ,379
R183,BEDFORD PK BLVD,R183,BEDFORD PARK BLVD-JEROME AV   ,380
R161,KINGSBRIDGE RD,R161,KINGSBRIDGE RD-JEROME AVE     ,381
R119,FORDHAM RD,R119,FORDHAM ROAD & JEROME AVE     ,382
R275,183 ST,R275,183RD STREET-JEROME AVENUE    ,383
R244,BURNSIDE AV,R244,BURNSIDE AVE-JEROME AVE       ,384
R309,176 ST,R309,176TH STREET-JEROME AVENUE    ,385
R308,MT EDEN AV,R308,MT EDEN AVENUE-JEROME AVE     ,386
R243,170 ST,R243,170TH STREET-JEROME AVENUE    ,387
R221,167 ST,R221,167TH STREET-RIVER AVENUE     ,388
R205,149/GRAND CONC,R205,149TH ST-GRAND CONCOURSE      ,390
